0,Budding Business234,14641
1,Angelic Threads396,67418
2,Celestial Citrus Farms954,93700
3,Chaperon430,60461
4,Addiction Like481,85516
5,Bikini Beans619,48922
6,Chic Château952,7009
7,Charming Charlotte193,186
8,Chapeau Chic688,18896
9,Best Indulgence545,96535
10,Bestir Service339,43585
11,Baskets Of Berries521,32630
12,Bumble Bee Boutique865,56618
13,Chateaux622,61759
14,Blue Market319,16410
15,Better Buys120,4954
16,Blue Mall373,63714
17,Black Eye Coffee362,41837
18,Authentic Shoppe247,48039
19,Burlington350,9400
20,Best Indulgence216,55926
21,Bluebird Store226,20324
22,Alike Desire424,68929
23,Chic Château947,1203
24,Bestir Service448,41832
25,Cafe Corner Shots742,1737
26,Bella Bella Boutique937,14851
27,Charlie’s Retail856,59191
28,Adaline’s Wardrobe292,10017
29,Careful Dishing649,68335
30,Bruno’s Groceries898,57599
31,All Things More215,7385
32,Berry Farm908,18363
33,Bursting Baskets859,51428
34,Burly Giggles291,33616
35,Blessed Fruits269,9813
36,Burlington673,57670
37,Bluebird Store113,95893
38,Balsamic688,6194
39,Best Indulgence860,42365
40,All Things More453,4211
41,Blueberry Bean563,33241
42,Bend the Trend378,49071
43,Blessed Fruits477,88988
44,Berry Land972,32938
45,Big Mall660,8672
46,Burlington271,79373
47,African Paradise170,81461
48,Burger Garden498,42215
49,Blessed Fruits346,86566
50,Bean Box708,92022
51,Beef Quest765,13307
52,Bien Habillé356,2754
53,Campfire Clothes920,49880
54,Calm Charm323,15075
55,Cheeky Chic533,60198
56,Ancient Grounds268,22706
57,Burger Garden363,82377
58,Bloomingdale’s228,51688
59,Charming Charlotte246,22797
60,Big Mart153,57813
61,Charming Charlotte211,28805
62,Chowhound565,390
63,Best Discount882,38525
64,Chateaux288,90388
65,Blue Diamond386,79324
66,Blacklight Clothing691,54614
67,Cheereal452,65297
68,Bestir Service951,18701
69,Blue Shelves629,5916
70,Blue Shelves697,21933
71,Brick And Cyber703,88631
72,Blueberry Bean628,75199
73,Changing Seasons586,64161
74,Apple Alley392,15526
75,Balsamic268,5472
76,Budget Banquet623,93342
77,Calm Charm489,92302
78,Budget Beauty280,53458
79,Bean Box486,20908
80,Changing Seasons798,63432
81,Blueberry Bean242,92864
82,Blueberry Bean730,28637
83,Big Mall607,76353
84,Beautiful Charm444,72087
85,Charlie’s Retail184,92873
86,Chic Château354,14908
87,Apple Blossoms429,36868
88,Anytime Buys768,2495
89,Budget Beauty727,48245
90,Brandy Melville331,35021
91,Actioner Sports Store710,23534
92,Blue Mall127,48236
93,Charlie’s Retail413,2569
94,Butter Buds910,84584
95,Calm Glitter587,21320
96,Brandy Melville628,46600
97,American Eagle Shop194,59630
98,Campfire Clothes656,20626
99,American Blues775,82268
100,Calm Charm529,64816
101,Charming Charlotte426,80379
102,Best Price990,2972
103,Boutique de Paris517,73803
104,Balsamic264,18955
105,Burlington471,89649
106,Butter Buds694,95774
107,Bountiful Berries265,25124
108,Blessed Fruits838,85630
109,Actioner Sports Store486,60072
110,Blue Diamond610,6582
111,Better Buys792,30272
112,Business Bustle978,90212
113,Big Mart534,91556
114,Calm Charm564,88105
115,Boutique de Paris553,4493
116,Bursting With Fruit872,37455
117,Addiction Like408,9528
118,Careful Dishing753,98759
119,Charming Charlotte403,42211
120,BALENCIAGA885,65669
121,Bean Box295,56786
122,Ambrosia Store483,85125
123,Alike Desire447,18075
124,Burton758,22846
125,Bruno’s Groceries429,84455
126,Apple Blossoms589,17394
127,Cavern Cooks647,82887
128,Choose And Track449,68569
129,Apple Alley655,27992
130,Campfire Clothes192,89290
131,Body Canvas642,93845
132,Bien Habillé489,46782
133,Brick And Cyber965,27419
134,Bursting With Fruit282,50490
135,Chic Château396,6876
136,BALENCIAGA138,11316
137,Around The Clock Shop326,9987
138,Burgundy Boutique789,25268
139,Cheereal375,41377
140,Chateaux711,92065
141,African Paradise197,64414
142,Bikini Beans807,23672
